36.89	4.70	0.27
36.85	4.67	0.44
36.79	4.63	0.73
36.70	4.60	1.02
36.60	4.55	1.22
36.53	4.46	1.29
36.52	4.33	1.19
36.55	4.14	0.91
36.65	3.89	0.50
36.83	3.58	0.06
37.10	3.30	-0.30
37.39	3.15	-0.56
37.53	3.15	-0.68
37.39	3.25	-0.69
36.98	3.31	-0.59
36.50	3.22	-0.41
36.17	3.02	-0.21
36.15	2.80	-0.05
36.35	2.65	0.04
36.62	2.57	0.03
36.80	2.51	-0.06
36.88	2.41	-0.22
36.94	2.25	-0.43
37.06	2.03	-0.65
37.24	1.81	-0.82
37.40	1.67	-0.92
37.47	1.68	-0.91
37.36	1.81	-0.78
37.07	1.99	-0.51
36.66	2.12	-0.06
36.24	2.17	0.53
35.95	2.20	1.15
35.85	2.26	1.56
35.92	2.32	1.58
36.07	2.29	1.23
36.17	2.08	0.67
36.18	1.72	0.16
36.08	1.33	-0.12
35.90	1.03	-0.16
35.70	0.88	-0.08
35.51	0.82	-0.04
35.37	0.79	-0.11
35.28	0.78	-0.24
35.22	0.80	-0.35
35.18	0.83	-0.36
35.12	0.83	-0.32
35.04	0.74	-0.29
34.98	0.59	-0.31
34.95	0.46	-0.33
34.97	0.46	-0.29
35.01	0.65	-0.18
35.05	0.95	-0.07
35.04	1.27	-0.03
34.97	1.50	-0.07
34.86	1.57	-0.12
34.75	1.47	-0.09
34.71	1.24	0.09
34.76	0.97	0.35
34.89	0.78	0.56
35.04	0.75	0.58
35.15	0.82	0.38
35.15	0.88	0.05
35.03	0.82	-0.23
34.81	0.62	-0.34
34.49	0.31	-0.28
34.07	-0.01	-0.15
33.59	-0.29	-0.04
33.20	-0.47	0.02
33.00	-0.54	0.06
33.03	-0.49	0.08
33.20	-0.36	0.10
33.35	-0.19	0.09
33.43	-0.06	0.04
33.46	0.04	-0.07
33.47	0.15	-0.24
33.43	0.34	-0.42
33.23	0.64	-0.54
32.87	0.96	-0.52
32.45	1.20	-0.32
32.12	1.30	0.02
31.94	1.31	0.38
31.89	1.28	0.63
31.92	1.24	0.68
32.00	1.19	0.57
32.10	1.19	0.41
32.20	1.27	0.31
32.24	1.45	0.28
32.23	1.68	0.28
32.19	1.91	0.27
32.18	2.13	0.25
32.16	2.37	0.26
32.05	2.61	0.30
31.80	2.77	0.34
31.44	2.72	0.33
31.09	2.38	0.28
30.80	1.87	0.20
30.58	1.39	0.10
30.36	1.15	0.02
30.09	1.24	0.01
29.79	1.55	0.13
29.52	1.91	0.37
29.33	2.21	0.66
29.29	2.43	0.94
29.45	2.61	1.17
29.82	2.76	1.35
30.28	2.90	1.46
30.68	3.00	1.47
30.86	3.10	1.34
30.76	3.21	1.11
30.45	3.30	0.88
30.03	3.37	0.73
29.59	3.40	0.60
29.16	3.43	0.39
28.77	3.47	0.05
28.47	3.53	-0.33
28.29	3.60	-0.59
28.24	3.70	-0.62
28.28	3.86	-0.46
28.35	4.06	-0.22
28.38	4.23	0.03
28.35	4.29	0.26
28.24	4.23	0.47
28.07	4.13	0.62
27.86	4.05	0.68
27.62	4.08	0.65
27.35	4.21	0.59
27.08	4.44	0.49
26.87	4.75	0.38
26.76	5.11	0.30
26.74	5.44	0.32
26.75	5.67	0.49
26.72	5.75	0.75
26.63	5.70	0.99
26.51	5.57	1.09
26.40	5.46	1.08
26.36	5.47	1.02
26.38	5.61	0.96
26.45	5.86	0.92
26.52	6.13	0.85
26.53	6.35	0.79
26.41	6.45	0.79
26.16	6.48	0.90
25.82	6.51	1.09
25.46	6.61	1.23
25.16	6.83	1.22
24.95	7.12	1.05
24.79	7.46	0.77
24.62	7.76	0.48
24.39	7.96	0.20
24.10	8.02	-0.11
23.84	7.99	-0.46
23.70	7.96	-0.79
23.75	8.04	-0.99
23.92	8.23	-0.99
24.09	8.45	-0.76
24.12	8.63	-0.41
23.98	8.78	-0.09
23.74	8.95	0.08
